"订单编号","退款编号","支付宝交易号","订单付款时间","商品编码","退款完结时间","买家会员名称","买家实际支付金额","宝贝标题","买家退款金额","手工退款/系统退款","是否需要退货","退款的申请时间","超时时间","退款状态","货物状态","退货物流信息","发货物流信息","客服介入状态","卖家真实姓名","卖家退货地址","卖家邮编","卖家电话","卖家手机","退货物流单号","退货物流公司","买家退款原因","买家退款说明","买家退货时间","责任方","售中或售后","商家备注","完结时间","部分退款/全部退款","审核操作人","举证超时","是否零秒响应","退款操作人"
"238527372882536019","13610477383531960","2018102722001151251009157495","null","567331101028","2018-10-27 10:01:27","倦怠阳光","2100.00","SIEMENS/西门子 SJ636X01JC 家用全自动洗碗机全嵌入式13套 除菌","7890.00","0","仅退款","2018-10-27 10:01:25","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-27 10:01:27","null","null","null","null","null"
"242620512714826556","13863074694825665","2018101722001188341003897625","null","560585538125","2018-10-27 09:38:05","我淘de宝贝","0.00","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","1030.00","0","仅退款","2018-10-18 23:48:26","","退款关闭","买家已收到货","null","买家已收到货","","西门子家电厨卫旗舰店","","null","null","null","","","退运费","","","null","售中退款","null","2018-10-27 09:38:05","null","null","null","null","null"
"227348871380473891","13203751882479138","2018101422001154950528323189","null","576277364657","2018-10-26 13:13:49","tb54199271","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-26 10:59:38","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","已与客服沟通，决定取消预订，麻烦退款","","null","售中退款","null","2018-10-26 13:13:49","null","null","null","null","null"
"238262764441115605","13615246735110556","2018102622001139865417770740","null","575340125554","2018-10-26 09:22:29","tb838889_34","900.00","SIEMENS/西门子 BE525LMS0W嵌入式微波炉烧烤烤箱家用内嵌多功能","3090.00","0","仅退款","2018-10-26 09:22:27","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-26 09:22:29","null","null","null","null","null"
"229323045344549974","13148229691547499","2018101922001102401006015635","null","576277364657","2018-10-25 22:56:22","青妹子55","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-25 22:55:45","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-25 22:56:22","null","null","null","null","null"
"244842595067430053","14196224857435300","2018101922001188215414772961","null","576277364657","2018-10-25 22:07:41","kidease","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-25 22:07:05","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-25 22:07:41","null","null","null","null","null"
"229215332076468173","13146533741467381","2018101922001179401004870967","null","576277364657","2018-10-25 21:28:44","zjql319","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-25 21:28:12","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-25 21:28:44","null","null","null","null","null"
"244478594349144647","14159714587144746","2018101922001133051006439252","null","576277364657","2018-10-25 19:59:36","tiankong4940","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-25 19:58:58","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-25 19:59:36","null","null","null","null","null"
"228459340251767800","13317614479760078","2018092922001198720546157631","null","557798706958","2018-10-25 16:32:47","sddr44","1410.00","【狂欢价】SIEMENS/西门子 SN555S03JC 进口家用全自动洗碗机嵌入式13套智能","8190.00","0","退货退款","2018-10-14 15:35:53","","退款成功","买家已退货","null","买家已退货","","西门子家电厨卫旗舰店","西门子家电厨卫旗舰店:夜夜 ， 025-84701918-3094， 江苏省南京市鼓楼区   请联系本店客服核对地址， 210000","null","null","null","6185004386","日日顺物流","7天无理由退换货","","2018-10-22 01:20:59","null","售后退款","null","2018-10-25 16:32:47","null","null","null","null","null"
"244209856264747455","14195171605745574","2018101922001184145403603021","null","576277364657","2018-10-25 14:58:41","麦咔软陶窝","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-25 14:58:06","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-25 14:58:41","null","null","null","null","null"
"241549187624487156","14146690600485671","2018101522001130990529315888","null","576277364657","2018-10-25 14:30:55","zzjju","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-25 14:25:57","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-25 14:30:55","null","null","null","null","null"
"237539981744138319","13593996839131983","2018102422001120615408326580","null","545875981079","2018-10-25 13:18:18","嫣然莲花","5960.00","SIEMENS/西门子 66AA950+71F233侧吸大吸力中式烟灶套装餐","190.00","0","仅退款","2018-10-25 12:21:56","","退款成功","买家已收到货","null","买家已收到货","","西门子家电厨卫旗舰店","","null","null","null","","","退运费","","","null","售中退款","null","2018-10-25 13:18:18","null","null","null","null","null"
"240703617488521750","14174208707525017","2018101422001136700509501647","null","576277364657","2018-10-25 13:14:50","emperorandking","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-25 12:10:23","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-25 13:14:50","null","null","null","null","null"
"243214913973681548","14135649663684815","2018101822001196825408654967","null","576277364657","2018-10-25 11:39:13","twinsmz520","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-25 11:07:40","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-25 11:39:13","null","null","null","null","null"
"225086144330809587","13104197794808795","2018092222001168190596394104","null","562091429039","2018-10-25 09:52:33","seangong918","3031.03","SIEMENS/西门子45SK95E+77K233+621 烟灶联动自清洁烟灶洗三件套","13418.97","0","退货退款","2018-10-24 12:25:18","","退款成功","买家已退货","null","买家已退货","","西门子家电厨卫旗舰店","西门子家电厨卫旗舰店:夜夜 ， 025-84701918-3094， 江苏省南京市鼓楼区   请联系本店客服核对地址， 210000","null","null","null","","","7天无理由退换货","","","null","售中退款","null","2018-10-25 09:52:33","null","null","null","null","null"
"202608165294036210","13611535486031062","2018081421001001290538488185","null","549136972152","2018-10-25 09:32:32","美丽新裳","0.00","购9.9特权 享指定型号特权豪礼（具体请查看商品详情）","9.90","0","仅退款","2018-10-24 21:29:28","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-25 09:32:32","null","null","null","null","null"
"214013195327624765","14157184383626547","2018090922001135730524472763","null","567331101028","2018-10-24 20:17:44","女女900101","2600.00","SIEMENS/西门子 SJ636X01JC 家用全自动洗碗机全嵌入式13套 除菌","7390.00","0","仅退款","2018-10-24 20:17:39","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-24 20:17:44","null","null","null","null","null"
"190990977870849564","14119715981846495","2018072821001001810598573594","null","542190537822","2018-10-24 17:28:13","袁迟一子","310.00","SIEMENS/西门子 LC43S953TI欧式抽油烟机顶吸式自清洁吸油烟机","3580.00","0","退货退款","2018-10-23 15:36:15","","退款成功","买家已退货","null","买家已退货","","西门子家电厨卫旗舰店","西门子家电厨卫旗舰店:夜夜 ， 025-84701918-3094， 江苏省南京市鼓楼区   请联系本店客服核对地址， 210000","null","null","null","","","发票问题","","","null","售后退款","null","2018-10-24 17:28:13","null","null","null","null","null"
"191600287544799695","13128932025799596","2018072921001001280553891548","null","542196353198","2018-10-24 17:27:16","暮鼓晨钟1028","304.65","SIEMENS/西门子 HS243601W消毒柜嵌入式家用紫外线消毒碗柜镶嵌式","2435.35","0","退货退款","2018-10-24 11:14:37","","退款成功","买家已退货","null","买家已退货","","西门子家电厨卫旗舰店","西门子家电厨卫旗舰店:夜夜 ， 025-84701918-3094， 江苏省南京市鼓楼区   请联系本店客服核对地址， 210000","null","null","null","","","功能/效果不符","已扣除运费，请退款。","","null","售后退款","null","2018-10-24 17:27:16","null","null","null","null","null"
"229972420918005182","14059427979008251","2018102122001161895408309715","null","545644794233","2018-10-24 15:00:21","jabbar0120","510.00","SIEMENS/西门子 LS66AA950W抽油烟机侧吸式大吸力吸油烟机","3980.00","0","退货退款","2018-10-22 12:55:51","","退款成功","买家已退货","null","买家已退货","","西门子家电厨卫旗舰店","西门子家电厨卫旗舰店:夜夜 ， 025-84701918-3094， 江苏省南京市鼓楼区   请联系本店客服核对地址， 210000","null","null","null","","","7天无理由退换货","","","null","售中退款","null","2018-10-24 15:00:21","null","null","null","null","null"
"225086144330809587","13104613519808795","2018092222001168190596394104","null","568649977903","2018-10-24 14:46:54","seangong918","2528.97","【焕新价】SIEMENS/西门子 HB133JBS0W 嵌入式烘烤多功能大容量家用电烤箱","5461.03","0","仅退款","2018-10-24 12:03:37","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","不喜欢/不想要","双十一价格差","","null","售中退款","null","2018-10-24 14:46:54","null","null","null","null","null"
"237147407780307701","13568238470300177","2018102222001198735403667951","null","579410335927","2018-10-24 13:36:04","蝎子糊涂","98.99","【会员专享】钢化玻璃碗—限会员积分兑换，单拍无效","0.01","0","仅退款","2018-10-24 09:21:21","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-24 13:36:04","null","null","null","null","null"
"225086144330809587","13114022514808795","2018092222001168190596394104","null","562091429039","2018-10-24 12:24:31","seangong918","2831.03","SIEMENS/西门子45SK95E+77K233+621 烟灶联动自清洁烟灶洗三件套","13618.97","0","仅退款","2018-10-24 12:03:57","","退款关闭","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","不喜欢/不想要","扣除200运费  退款金额：13418.97","","null","售中退款","null","2018-10-24 12:24:31","null","null","null","null","null"
"191600287544799695","13084165269799596","2018072921001001280553891548","null","542196353198","2018-10-24 11:13:38","暮鼓晨钟1028","160.00","SIEMENS/西门子 HS243601W消毒柜嵌入式家用紫外线消毒碗柜镶嵌式","2580.00","0","退货退款","2018-10-23 16:42:36","","退款关闭","买家已收到货","null","买家已收到货","","西门子家电厨卫旗舰店","","null","null","null","","","功能/效果不符","因尺寸问题无法安装，协商一致退款。","","null","售后退款","null","2018-10-24 11:13:38","null","null","null","null","null"
"227939174246817774","13146855982817477","2018101622001112045405978072","null","576277364657","2018-10-24 11:04:38","love二二","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-24 11:02:53","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-24 11:04:38","null","null","null","null","null"
"209391122747635869","13097126698636958","2018082921001001350525624206","null","566254020235","2018-10-24 10:15:55","kawaii_206","0.00","9.99元单锅换柜子专用链接（注：单拍不发货）","9.99","0","仅退款","2018-10-23 20:04:36","","退款关闭","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","缺货","","","null","售中退款","null","2018-10-24 10:15:55","null","null","null","null","null"
"236109678900582912","13568686484581229","2018102022001240751005969403","null","565880316222","2018-10-24 10:02:21","t_1482561971456_0828","9380.00","SIEMENS/西门子CP565AGS0W","100.00","0","仅退款","2018-10-24 10:02:19","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-24 10:02:21","null","null","null","null","null"
